Nome,Código,Descrição,Ator,Categoria,Ciclo,Origem,Prioridade,Situação,Tipo
RN05 | Todo aluno precisa de vínculo ativo,RN05,"Um aluno deve possuir ao menos um vínculo ativo, com uma academia ou com um professor autônomo. Sem vínculo, ele não tem acesso a turmas, sessões, missões ou classificação.",Aluno,Núcleo: Vínculos,Ciclo 1,Modelo de atores definido,Essencial (Must),Confirmado no escopo,Regra de Negócio
RN06 | Vínculo do professor é opcional e bilateral,RN06,O vínculo entre professor e academia é opcional e depende de aceite das duas partes. O professor sem vínculo atua de forma autônoma e mantém a titularidade de suas próprias turmas e alunos.,"Academia, Professor",Núcleo: Vínculos,Ciclo 1,Modelo de atores definido,Essencial (Must),Confirmado no escopo,Regra de Negócio
RN07 | Toda turma tem um responsável único,RN07,"Toda turma pertence a uma academia ou a um professor autônomo, e toda sessão de treino pertence a uma turma. A titularidade determina quem pode validar check-ins e conceder graduações.","Academia, Professor",Núcleo: Treinos,Ciclo 1,Modelo de atores definido,Essencial (Must),Confirmado no escopo,Regra de Negócio
RN08 | Janela de tempo do check-in,RN08,"O check-in só é permitido dentro da janela de tempo definida para a sessão de treino, impedindo registro retroativo pelo próprio aluno.",Aluno,Núcleo: Treinos,Ciclo 1,Decisão de projeto,Essencial (Must),A validar em campo,Regra de Negócio
RF09 | Gestão de professores pela academia,RF09,"O sistema deve possibilitar que a academia consulte, aceite e encerre vínculos com professores, além de atribuir a cada um as turmas sob sua responsabilidade.",Academia,Núcleo: Vínculos,Ciclo 3,Modelo de atores definido,Importante (Should),Confirmado no escopo,Funcional
RF22 | Validação de check-ins,RF22,O sistema deve possibilitar que o responsável pela sessão valide ou rejeite os check-ins registrados pelos alunos. A validação é o que confere legitimidade à pontuação.,"Academia, Professor",Gestão,Ciclo 3,Objetivo específico do pré-projeto,Essencial (Must),Confirmado no escopo,Funcional
RF23 | Criação de missões personalizadas,RF23,"O sistema deve possibilitar que professores e academias criem missões personalizadas, definindo título, critério de conclusão, recompensa em pontos, público-alvo e período de vigência.","Academia, Professor",Gestão,Ciclo 3,Objetivo específico do pré-projeto,Essencial (Must),Confirmado no escopo,Funcional
RF24 | Consulta de alunos e frequência,RF24,"O sistema deve possibilitar a consulta da relação de alunos sob responsabilidade do professor ou da academia, com a frequência recente de cada um.","Academia, Professor",Gestão,Ciclo 3,Objetivo específico do pré-projeto,Essencial (Must),Confirmado no escopo,Funcional
RF25 | Registro de graduação de faixa,RF25,"O sistema deve possibilitar o registro da graduação de faixa ou grau de um aluno, atualizando seu perfil e seu histórico de progressão.","Academia, Professor",Gestão,Ciclo 3,Objetivo específico do pré-projeto,Essencial (Must),Confirmado no escopo,Funcional
RF26 | Relatório de frequência,RF26,"O sistema deve apresentar relatório de frequência por turma e por período, servindo também como fonte de dados para a avaliação do TCC.","Academia, Professor",Gestão,Ciclo 3,Plano de avaliação do TCC,Importante (Should),Confirmado no escopo,Funcional
RF27 | Visão consolidada da academia,RF27,"O sistema deve apresentar à academia uma visão consolidada de todas as suas turmas, professores e alunos, com indicadores agregados de frequência.",Academia,Gestão,Ciclo 3,Modelo de atores definido,Importante (Should),A validar em campo,Funcional
RF33 | Personalização do sistema de pontuação e graduação,RF33,"O sistema deve oferecer um sistema de pontuação e graduação padrão pré-configurado, mas também deve permitir que o professor ou a academia personalize essas métricas, definindo, por exemplo, a quantidade de pontos por presença, critérios de subida de nível e a estrutura de faixas da modalidade. As configurações personalizadas devem ser acessíveis a partir das configurações do perfil da academia ou do professor.","Academia, Professor",	Gestão,Ciclo 3,	Decisão de produto,Importante (Should),Confirmado no escopo,Funcional
RN03 | Graduação como decisão humana,RN03,"A graduação de faixa é sempre uma decisão do professor ou da academia, nunca automática por acúmulo de pontos. Graduação concedida por algoritmo seria rejeitada pelas academias e comprometeria a adoção.","Academia, Professor",Gestão,Ciclo 3,Decisão de projeto,Essencial (Must),Confirmado no escopo,Regra de Negócio
RF16 | Crédito de pontos de experiência,RF16,"O sistema deve creditar pontos de experiência ao aluno a partir de check-ins validados e de missões concluídas, conforme regras parametrizadas.",Aluno,Gamificação,Ciclo 2,Hipótese do pré-projeto,Essencial (Must),Confirmado no escopo,Funcional
RF17 | Exibição de nível e progresso,RF17,"O sistema deve exibir ao aluno seu nível atual, o total de pontos acumulados e o quanto falta para o próximo nível, tornando a evolução visível.",Aluno,Gamificação,Ciclo 2,Hipótese do pré-projeto,Essencial (Must),Confirmado no escopo,Funcional
RF18 | Consulta e progresso de missões,RF18,"O sistema deve exibir ao aluno as missões ativas no escopo de seu vínculo, o progresso parcial de cada uma e a sinalização de conclusão com a respectiva recompensa.",Aluno,Gamificação,Ciclo 2,Objetivo específico do pré-projeto,Essencial (Must),Confirmado no escopo,Funcional
RF19 | Concessão de medalhas,RF19,"O sistema deve conceder medalhas ao aluno ao atingir marcos predefinidos, como número de treinos acumulados, sequências mantidas ou graduações obtidas.",Aluno,Gamificação,Ciclo 2,Roteiro do TCC (Ciclo 2),Essencial (Must),Confirmado no escopo,Funcional
RF20 | Classificação por escopo de vínculo,RF20,"O sistema deve exibir a classificação dos alunos por pontos obtidos em uma janela de tempo, respeitando o escopo do vínculo do aluno, seja a academia, a turma ou o conjunto de alunos de um professor autônomo.",Aluno,Gamificação,Ciclo 2,Hipótese do pré-projeto,Essencial (Must),A validar em campo,Funcional
RF21 | Sequência de treinos consecutivos,RF21,"O sistema deve contabilizar e exibir a sequência de treinos consecutivos do aluno, mecânica associada à formação de hábito na literatura de gamificação.",Aluno,Gamificação,Ciclo 2,Framework Octalysis,Importante (Should),A validar em campo,Funcional
RN01 | Pontuação depende de check-in validado,RN01,"Pontos de experiência só são creditados após o check-in ser validado pelo responsável da sessão, evitando registro indevido e preservando a credibilidade do sistema.","Academia, Professor",Gamificação,Ciclo 2,Decisão de projeto,Essencial (Must),Confirmado no escopo,Regra de Negócio
RN04 | Janela temporal da classificação,RN04,"A classificação considera apenas os pontos obtidos no período vigente, evitando que alunos antigos ocupem permanentemente as primeiras posições.",Aluno,Gamificação,Ciclo 2,Framework Octalysis,Essencial (Must),A validar em campo,Regra de Negócio
RN09 | Escopo da classificação segue o vínculo,RN09,"A classificação de um aluno vinculado a academia considera os alunos da mesma academia ou turma. Para aluno de professor autônomo, considera apenas os demais alunos daquele professor, o que pode resultar em grupos pequenos e reduzir o efeito motivacional pretendido.",Aluno,Gamificação,Ciclo 2,Modelo de atores definido,Essencial (Must),A validar em campo,Regra de Negócio
RF28 | Registro de consentimento LGPD,RF28,O sistema deve apresentar a política de privacidade e registrar o consentimento do usuário quanto ao tratamento de dados pessoais no momento do cadastro.,"Academia, Aluno, Professor",Conformidade,Ciclo 4,LGPD (Lei 13.709/2018),Essencial (Must),Confirmado no escopo,Funcional
RF29 | Exclusão de conta e dados,RF29,"O sistema deve possibilitar que o usuário solicite a exclusão de sua conta e dos dados pessoais associados, atendendo ao direito de eliminação previsto na LGPD.","Academia, Aluno, Professor",Conformidade,Ciclo 4,LGPD (Lei 13.709/2018),Essencial (Must),Confirmado no escopo,Funcional
RF30 | Identificação de responsável legal,RF30,O sistema deve registrar a identificação e o consentimento de responsável legal para usuários menores de 18 anos. Torna-se obrigatório caso a academia parceira tenha praticantes menores de idade.,Aluno,Conformidade,Ciclo 4,LGPD (Lei 13.709/2018),Essencial (Must),A validar em campo,Funcional
RF31 | Notificações,RF31,"O sistema deve enviar notificações de lembrete de sessão de treino, publicação de nova missão e conquista obtida, atuando como gatilho de retorno ao aplicativo.",Aluno,Retenção,Ciclo 4,Roteiro do TCC (Ciclo 4),Importante (Should),A validar em campo,Funcional
RF32 | Sinalização de queda de frequência,RF32,O sistema deve sinalizar ao professor e à academia os alunos com queda relevante de frequência no período. É o requisito que mais dialoga diretamente com a hipótese de redução da evasão.,"Academia, Professor",Retenção,Ciclo 4,Hipótese do pré-projeto,Importante (Should),A validar em campo,Funcional
RNF01 | Usabilidade do check-in,RNF01,O check-in deve ser concluído em até três toques a partir da tela inicial. Um fluxo longo compromete a ação mais repetida do aplicativo.,Aluno,Produto: Usabilidade,Transversal,ISO/IEC 25010,Essencial (Must),Confirmado no escopo,Não Funcional
RNF02 | Tempo de resposta das telas principais,RNF02,"As telas principais devem carregar em até três segundos em conexão móvel 4G, considerando o uso do aplicativo no ambiente da academia.","Academia, Aluno, Professor",Produto: Desempenho,Transversal,ISO/IEC 25010,Importante (Should),Confirmado no escopo,Não Funcional
RNF03 | Armazenamento seguro de credenciais,RNF03,"As senhas dos usuários devem ser armazenadas de forma criptografada, com a gestão delegada ao serviço de autenticação do Firebase.","Academia, Aluno, Professor",Produto: Segurança,Transversal,ISO/IEC 25010,Essencial (Must),Confirmado no escopo,Não Funcional
RNF04 | Isolamento de dados entre vínculos,RNF04,"Os dados de uma academia ou de um professor autônomo não devem ser acessíveis por outro, e um aluno não deve acessar dados individuais de outro aluno, exceto as informações expostas na classificação. O controle será aplicado por regras de segurança no banco de dados.","Academia, Aluno, Professor",Produto: Segurança,Transversal,LGPD (Lei 13.709/2018),Essencial (Must),Confirmado no escopo,Não Funcional
RNF05 | Compatibilidade de plataformas,RNF05,"O aplicativo deve funcionar em dispositivos Android 8.0 ou superior e iOS 14 ou superior, faixa que cobre a maior parte dos aparelhos em uso no público-alvo.","Academia, Aluno, Professor",Produto: Compatibilidade,Transversal,Decisão técnica,Essencial (Must),Confirmado no escopo,Não Funcional
RNF06 | Tolerância a falha de conexão,RNF06,"O aplicativo deve preservar as ações realizadas sem conexão e sincronizá-las quando a rede for restabelecida, situação comum em academias com sinal instável.","Aluno, Professor",Produto: Confiabilidade,Transversal,ISO/IEC 25010,Importante (Should),Confirmado no escopo,Não Funcional
RNF07 | Pilha tecnológica definida,RNF07,"O aplicativo deve ser desenvolvido em React Native com Expo, com backend, banco de dados e autenticação providos pelo Firebase.",Equipe de desenvolvimento,Organizacional,Transversal,Decisão técnica,Essencial (Must),Confirmado no escopo,Não Funcional
RNF08 | Controle de versão,RNF08,"O código-fonte deve ser versionado em Git, com repositório remoto, garantindo rastreabilidade das entregas de cada ciclo.",Equipe de desenvolvimento,Organizacional,Transversal,Boa prática de Engenharia de Software,Essencial (Must),Confirmado no escopo,Não Funcional
RNF09 | Modelagem prévia à codificação,RNF09,"O desenvolvimento deve ser precedido de modelagem em UML, com casos de uso e diagrama de classes contemplando os três atores, e de protótipo validado no Figma com usuários representativos.",Equipe de desenvolvimento,Organizacional,Transversal,Metodologia do pré-projeto,Essencial (Must),Confirmado no escopo,Não Funcional
RNF10 | Conformidade com a LGPD,RNF10,"O tratamento de dados pessoais deve observar a Lei 13.709/2018, com coleta limitada à finalidade declarada e minimização dos dados armazenados.","Academia, Aluno, Professor",Externo: Legal,Transversal,LGPD (Lei 13.709/2018),Essencial (Must),Confirmado no escopo,Não Funcional
RNF11 | Adesão opcional à classificação,RNF11,"A participação na classificação deve ser opcional para o aluno. A exposição pública de desempenho pode desmotivar iniciantes, justamente o perfil de maior risco de evasão.",Aluno,Externo: Ético,Transversal,Decisão de projeto,Essencial (Must),Confirmado no escopo,Não Funcional
